Full Name,Account Number,CIBIL Score,Monthly_Income,Credit_Limit,Primary_Card,XGB_Primary_Card
Advika Ghose,739937345599,460,117789.58333333333,117789.58333333333,No Card,No Card
Aarna Sanghvi,970449497515,593,131111.91666666666,131111.91666666666,No Card,No Card
Charvi Dutt,218703416814,331,99936.5,99936.5,No Card,No Card
Shayak Lalla,424980911208,318,88490.16666666667,88490.16666666667,No Card,No Card
Nirvi Vyas,741490336599,723,48332.416666666664,144997.25,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Purab Batta,144227219228,307,51292.916666666664,51292.916666666664,No Card,No Card
Alia Sura,906917288483,653,20298.75,40597.5,No Card,No Card
Jayant Jani,835260669992,730,134995.41666666666,404986.25,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Neelofar Goswami,492737506563,427,22003.666666666668,22003.666666666668,No Card,No Card
Renee Kari,829051801759,314,96671.75,96671.75,No Card,No Card
Aayush Cherian,501409716555,397,53524.666666666664,53524.666666666664,No Card,No Card
Riaan Jaggi,393439743001,575,25796.333333333332,25796.333333333332,No Card,No Card
Anya Barman,368945851222,405,147963.08333333334,147963.08333333334,No Card,No Card
Raunak Bir,928998558012,320,80632.91666666667,80632.91666666667,No Card,No Card
Kabir Dhingra,569308452740,314,33352.916666666664,33352.916666666664,No Card,No Card
Veer Ray,940925323965,746,18828.25,56484.75,No Card,No Card
Pari Chadha,808838212281,847,116790.16666666667,583950.8333333334,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Yuvaan Raj,756052041217,400,61861.25,61861.25,No Card,No Card
Zeeshan Grover,489455260934,343,128068.75,128068.75,No Card,No Card
Mannat Rama,603071287465,717,22980.5,68941.5,No Card,No Card
Yashvi Ghose,915104221543,589,50743.583333333336,50743.583333333336,No Card,No Card
Madhup Bhatnagar,370050113869,575,138647.33333333334,138647.33333333334,No Card,No Card
Gokul Tak,434384887187,511,64045.833333333336,64045.833333333336,No Card,No Card
Eshani Chaudry,771247473905,644,48938.416666666664,97876.83333333333,No Card,No Card
Aarna Dash,224735786054,491,84184.0,84184.0,No Card,No Card
Khushi Arora,765937672909,307,73786.66666666667,73786.66666666667,No Card,No Card
Navya Krishnan,333622361579,674,158436.66666666666,316873.3333333333,No Card,No Card
Nehmat Yadav,669412605325,402,98695.5,98695.5,No Card,No Card
Dishani Mahal,323484340025,443,141930.41666666666,141930.41666666666,No Card,No Card
Jiya Sem,523714357597,682,28154.0,56308.0,No Card,No Card
Jayant Devi,161463053262,486,68089.58333333333,68089.58333333333,No Card,No Card
Divit Bora,653784021661,512,27329.0,27329.0,No Card,No Card
Aaina Deshpande,826344903699,535,152323.33333333334,152323.33333333334,No Card,No Card
Arhaan Kaul,675172917062,411,50224.166666666664,50224.166666666664,No Card,No Card
Anika Raval,109103970370,532,58253.833333333336,58253.833333333336,No Card,No Card
Rati Varty,141988444574,314,54272.416666666664,54272.416666666664,No Card,No Card
Indrans Sur,943403139355,584,18496.583333333332,18496.583333333332,No Card,No Card
Zoya Thakur,200313047598,673,159122.16666666666,318244.3333333333,No Card,No Card
Sara Bhasin,961706632434,757,166566.0,499698.0,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Tanya Bal,883503971826,349,35714.666666666664,35714.666666666664,No Card,No Card
Faiyaz Bhatnagar,278169162960,754,101300.16666666667,303900.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Kanav Bhatti,723094859381,428,148867.41666666666,148867.41666666666,No Card,No Card
Samarth Soni,406820428051,550,92840.91666666667,92840.91666666667,No Card,No Card
Adira Malhotra,686936917488,437,30486.5,30486.5,No Card,No Card
Tanya Bhalla,286742689907,547,132020.83333333334,132020.83333333334,No Card,No Card
Tarini Sekhon,497975895966,784,21757.25,65271.75,No Card,No Card
Armaan Lad,840678688879,310,101111.91666666667,101111.91666666667,No Card,No Card
Jayesh Buch,220254881006,781,153475.33333333334,460426.0,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Adah Keer,370519673439,822,26537.583333333332,132687.91666666666,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Rati Subramanian,149093407821,549,141348.0,141348.0,No Card,No Card
Indranil Gaba,563018124443,751,53316.0,159948.0,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Mamooty Bera,464428164661,702,19946.083333333332,59838.25,No Card,No Card
Ira Khalsa,344230251642,450,32756.25,32756.25,No Card,No Card
Kaira Toor,977596683530,449,121904.91666666667,121904.91666666667,No Card,No Card
Tejas Shroff,339328094636,687,130287.75,260575.5,No Card,No Card
Jiya Golla,146842039070,751,22109.833333333332,66329.5,No Card,No Card
Arnav Badami,813032357982,891,80442.75,402213.75,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Dishani Arora,317900889302,792,144272.16666666666,432816.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Ivana Bakshi,628409985307,538,51406.666666666664,51406.666666666664,No Card,No Card
Aradhya Shanker,341657310781,843,65955.0,329775.0,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Taran Biswas,588299196439,543,78414.66666666667,78414.66666666667,No Card,No Card
Kiara Sama,427628538958,780,81769.91666666667,245309.75,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Kaira Gola,831607834233,797,111820.0,335460.0,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Veer Bajaj,496381966117,472,80895.5,80895.5,No Card,No Card
Alia Ramachandran,898725701866,435,84430.66666666667,84430.66666666667,No Card,No Card
Mahika Varghese,464824144635,529,35440.083333333336,35440.083333333336,No Card,No Card
Lakshit Atwal,478076054856,543,101712.08333333333,101712.08333333333,No Card,No Card
Zaina Bhat,970880111611,651,157143.58333333334,314287.1666666667,No Card,No Card
Nehmat Garde,178105799499,700,91551.08333333333,274653.25,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Lavanya Dewan,319247331945,537,136887.16666666666,136887.16666666666,No Card,No Card
Adah Sankar,109330664458,433,133400.33333333334,133400.33333333334,No Card,No Card
Samaira Som,364779173211,580,140034.58333333334,140034.58333333334,No Card,No Card
Yuvaan Bera,444784183770,463,39128.0,39128.0,No Card,No Card
Krish Lata,183241191932,628,43152.0,86304.0,No Card,No Card
Pranay Dyal,404416123052,401,125500.16666666667,125500.16666666667,No Card,No Card
Anika Gade,164587697060,313,31482.416666666668,31482.416666666668,No Card,No Card
Badal Sahni,541278543697,358,146810.75,146810.75,No Card,No Card
Ritvik Chandran,507617054496,435,78537.66666666667,78537.66666666667,No Card,No Card
Dhruv Upadhyay,369139192084,349,86440.91666666667,86440.91666666667,No Card,No Card
Aarna Sarma,955647735314,687,27138.083333333332,54276.166666666664,No Card,No Card
Advika Bansal,205753158394,841,123645.25,618226.25,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Purab Dara,946225580474,335,73472.41666666667,73472.41666666667,No Card,No Card
Biju Doshi,215515714918,836,144103.91666666666,720519.5833333333,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Anahita Borah,299480138971,676,163972.5,327945.0,No Card,No Card
Pihu Dhillon,965768999177,720,109920.25,329760.75,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Keya Chahal,583290878192,307,119359.16666666667,119359.16666666667,No Card,No Card
Keya Korpal,815187150988,326,155947.5,155947.5,No Card,No Card
Nishith Boase,327223576994,509,25812.583333333332,25812.583333333332,No Card,No Card
Ehsaan Loke,659402801536,542,135802.16666666666,135802.16666666666,No Card,No Card
Pihu Bhattacharyya,369677843410,833,84314.5,421572.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Dhruv Krishna,617289759270,424,161757.75,161757.75,No Card,No Card
Manjari Ganesan,378243438585,598,55089.916666666664,55089.916666666664,No Card,No Card
Azad Bala,204437779534,793,47371.0,142113.0,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Ojas Baria,538505271939,432,25506.75,25506.75,No Card,No Card
Hunar Keer,118162487244,846,98603.08333333333,493015.4166666666,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Ela Sandal,531859582409,469,155159.08333333334,155159.08333333334,No Card,No Card
Vaibhav Tella,210079740390,569,63248.833333333336,63248.833333333336,No Card,No Card
Trisha Raju,889153400881,408,25839.833333333332,25839.833333333332,No Card,No Card
Ira Sibal,724400681640,674,18555.916666666668,37111.833333333336,No Card,No Card
Riya Hari,445456346225,650,138914.66666666666,277829.3333333333,No Card,No Card
Suhana Gaba,748409527227,496,133675.33333333334,133675.33333333334,No Card,No Card
Vanya Rajagopalan,543883703300,794,154922.16666666666,464766.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Ojas Madan,523711448430,566,20971.916666666668,20971.916666666668,No Card,No Card
Vardaniya Buch,428818284780,436,105357.0,105357.0,No Card,No Card
Madhav Din,742263484986,826,42662.916666666664,213314.5833333333,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Stuvan Dara,804169436685,351,115204.91666666667,115204.91666666667,No Card,No Card
Badal Butala,753099335289,728,130580.83333333333,391742.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Samarth Kumar,394336570206,604,26045.583333333332,52091.166666666664,No Card,No Card
