Full Name,Account Number,CIBIL Score,Address,State,City,Country,Mobile Number,PAN Card Number,Occupation,Branch of the Bank,Annual Income (in Rs),Gender
Oorja Chanda,361879167325,593,"H.No. 042, Bhalla Street, Kadapa 254730",Delhi,New Delhi,India,6810106252,GXJOB67598,Lawyer,Union Bank - New Delhi Branch,527069,Others
Kiara Yogi,314830732617,879,"15, Vig Road, Srikakulam 670345",Rajasthan,Udaipur,India,8909233019,ZZRKR78138,Teacher,Union Bank - Udaipur Branch,1447617,Others
Kartik Ganesan,127932167704,874,"H.No. 159, Saran, Akola-602844",Tamil Nadu,Madurai,India,4750633604,OFMQF73486,Bank Manager,Union Bank - Madurai Branch,991743,Others
Yashvi Mangal,722998330361,533,"H.No. 373, Tara Zila, Lucknow 556912",Tamil Nadu,Chennai,India,7359858831,LYJVZ15215,Doctor,Union Bank - Chennai Branch,303355,Others
Ryan Sangha,516299125917,704,"H.No. 104, Raval Path, Motihari-482640",West Bengal,Durgapur,India,4688984266,QENFI54414,Doctor,Union Bank - Durgapur Branch,1484372,Others
Yuvaan Wali,593550028458,629,"H.No. 76, Bhagat Circle, Solapur 657354",Rajasthan,Jaipur,India,6287371688,WVSRS54905,Teacher,Union Bank - Jaipur Branch,1462752,Others
Farhan Bakshi,634470026400,466,"653, Dhar Marg, Pudukkottai 700144",Punjab,Amritsar,India,7267714801,OFDNA62441,Teacher,Union Bank - Amritsar Branch,384779,Others
Baiju Kibe,155296037958,487,"H.No. 06, Hora Marg, Kozhikode 185581",Madhya Pradesh,Bhopal,India,7995528534,GVVNV37569,Accountant,Union Bank - Bhopal Branch,1596025,Others
Riya Wason,983287744228,312,"627, Kannan Street, Anantapuram-451626",Rajasthan,Udaipur,India,2329989097,TQBQE55659,Marketing Executive,Union Bank - Udaipur Branch,1670485,Others
Zoya Chand,410327129142,726,"22/73, Chada Marg, Guwahati-624604",Rajasthan,Udaipur,India,7566975640,AQTQN07043,Doctor,Union Bank - Udaipur Branch,1189436,Others
Darshit Chander,837665758277,887,"H.No. 577, Lal, Shahjahanpur 041118",West Bengal,Durgapur,India,8461134200,PCMVJ05718,Teacher,Union Bank - Durgapur Branch,1507371,Others
Veer Bhakta,936538665034,477,"29/39, Balakrishnan, Bangalore 522645",Maharashtra,Pune,India,3588196420,WJSVI60766,Lawyer,Union Bank - Pune Branch,686232,Others
Suhana Dhingra,576575773806,413,"H.No. 561, Dugar Circle, Pune 668772",Uttar Pradesh,Lucknow,India,9904027218,STKJE58137,Business Owner,Union Bank - Lucknow Branch,1117040,Others
Yasmin Wagle,217993277640,587,"49, Hayer Marg, Vadodara-804506",Delhi,New Delhi,India,8371249218,ETFBQ81093,Teacher,Union Bank - New Delhi Branch,1748762,Others
Aradhya Agarwal,544017430163,725,"33/496, Deshpande Circle, Srikakulam-895106",Tamil Nadu,Coimbatore,India,2966687553,CNCVT14987,Teacher,Union Bank - Coimbatore Branch,356730,Others
Onkar Dash,702208939198,636,"55, Jani, Pune 351970",Maharashtra,Mumbai,India,7508148517,ZOVEM86513,Civil Engineer,Union Bank - Mumbai Branch,1633257,Others
Rhea Venkataraman,326347082552,637,"98, Dube Zila, Khandwa-375526",Punjab,Jalandhar,India,2321161841,ZUIZT41643,Business Owner,Union Bank - Jalandhar Branch,1398079,Others
Divij Dar,473517320824,375,"347, Acharya Zila, Nadiad-319418",Punjab,Ludhiana,India,3891705835,MLFVO59908,Bank Manager,Union Bank - Ludhiana Branch,854811,Others
Jayan Butala,245685612813,575,"38/14, Loyal Circle, Davanagere-790005",Delhi,New Delhi,India,3925729128,FHDRC68914,Business Owner,Union Bank - New Delhi Branch,727035,Others
Zara Bhavsar,508136174076,547,"H.No. 683, Sarin Circle, Orai 528928",Uttar Pradesh,Lucknow,India,4600728123,ZLJFI37467,Marketing Executive,Union Bank - Lucknow Branch,848143,Others
Lakshit Karnik,173743233985,795,"60, Kalla, Raiganj 817246",Tamil Nadu,Chennai,India,7375968502,WRPPI56229,Business Owner,Union Bank - Chennai Branch,1700942,Others
Miraan Borra,355640235690,520,"H.No. 88, Suresh Marg, Dewas 623668",Uttar Pradesh,Lucknow,India,4441891445,GNKOZ24109,Marketing Executive,Union Bank - Lucknow Branch,265725,Others
Samar Kota,788346557527,574,"922, Soni Ganj, Saharanpur-243343",Gujarat,Vadodara,India,9645921528,BUSOS71385,Doctor,Union Bank - Vadodara Branch,1378557,Others
Kimaya Babu,960154939647,322,"63/111, Yogi Chowk, Singrauli-678579",Maharashtra,Nagpur,India,7287896606,XMPTJ00490,Doctor,Union Bank - Nagpur Branch,284654,Others
Biju Loke,449434084823,890,"68/54, Chowdhury Circle, Pallavaram 278472",Tamil Nadu,Coimbatore,India,5246327204,TSBHC17196,Pharmacist,Union Bank - Coimbatore Branch,1153277,Others
Diya Sur,619458961455,533,"206, Zachariah Road, Jamalpur 567306",Maharashtra,Pune,India,6449939731,KJBOS91268,Teacher,Union Bank - Pune Branch,791723,Others
Aniruddh Hayer,718406575234,555,"475, Ray Path, Aurangabad 828388",Uttar Pradesh,Kanpur,India,1873381998,AFUES21034,Civil Engineer,Union Bank - Kanpur Branch,519030,Others
Nitya Manda,579121188520,536,"76/431, Bedi Path, Mangalore 532922",Uttar Pradesh,Kanpur,India,7267902470,LCBUB57189,Pharmacist,Union Bank - Kanpur Branch,1577523,Others
Mishti Luthra,213941941111,753,"719, Chaudhry Ganj, Gaya-394221",Tamil Nadu,Madurai,India,2297162462,QPOWN31676,Business Owner,Union Bank - Madurai Branch,755839,Others
Zeeshan Hari,331745431785,370,"18/36, Dugal, Bhalswa Jahangir Pur-166025",West Bengal,Kolkata,India,1477615632,WNNKO70039,Software Engineer,Union Bank - Kolkata Branch,473538,Others
Kiaan D’Alia,410949334262,477,"89, Bera Road, Tirunelveli 346225",Karnataka,Mysuru,India,1493995985,GTJGM69865,Civil Engineer,Union Bank - Mysuru Branch,531236,Others
Neysa Wable,581952264220,614,"H.No. 22, Dhillon Street, Shahjahanpur-387489",Gujarat,Surat,India,2135208484,ABRYM29114,Software Engineer,Union Bank - Surat Branch,728178,Others
Adah Grewal,841598330271,742,"602, Bhavsar Ganj, Noida-827768",Maharashtra,Pune,India,6561798277,PWJWL88506,Doctor,Union Bank - Pune Branch,765894,Others
Krish Deep,582561188470,461,"H.No. 46, Samra Circle, Hubli–Dharwad-182530",Uttar Pradesh,Kanpur,India,8802447680,NIDOW55893,Marketing Executive,Union Bank - Kanpur Branch,689492,Others
Rania Wagle,176863908233,312,"26/40, Rajagopal Marg, Narasaraopet 508267",Punjab,Jalandhar,India,7994610653,CRPSB61056,Software Engineer,Union Bank - Jalandhar Branch,1505416,Others
Ela Mallick,812035013855,491,"11, Bose Zila, Korba 617786",Tamil Nadu,Madurai,India,4903703220,NZBDI54463,Civil Engineer,Union Bank - Madurai Branch,673254,Others
Manikya Sinha,700365403666,573,"396, Lalla Ganj, Uluberia-090220",Gujarat,Surat,India,2357129831,TSHPU27119,Marketing Executive,Union Bank - Surat Branch,549457,Others
Chirag Venkataraman,330324658668,380,"H.No. 933, Sarna Nagar, Bahraich 324208",Delhi,New Delhi,India,2268493904,PYXMG69035,Accountant,Union Bank - New Delhi Branch,865987,Others
Zara Subramanian,825777320885,745,"H.No. 766, Chokshi Path, Shivpuri-409679",Tamil Nadu,Madurai,India,7870000323,DNVQK54331,Marketing Executive,Union Bank - Madurai Branch,1519512,Others
Eva Lanka,422366636657,643,"H.No. 316, Tank Chowk, Hazaribagh 501976",Gujarat,Surat,India,5125151906,FMVEH26469,Doctor,Union Bank - Surat Branch,1488507,Others
Zeeshan Kumer,193584710783,517,"727, Vohra Street, Bhilai-729161",Gujarat,Vadodara,India,1902009147,SAKCM20644,Civil Engineer,Union Bank - Vadodara Branch,1488205,Others
Shaan Sachar,409681227769,500,"19, Bhatnagar Road, Dhanbad-394871",Karnataka,Bengaluru,India,1957033713,BRHVZ13588,Marketing Executive,Union Bank - Bengaluru Branch,1453617,Others
Nitara Choudhry,638499781238,604,"12, Sandal Path, Nizamabad-977574",Maharashtra,Mumbai,India,3577552395,YKQGL02113,Bank Manager,Union Bank - Mumbai Branch,898361,Female
Indrajit Badami,284871328354,744,"254, Ranganathan Chowk, Amravati-481289",Karnataka,Mysuru,India,6642945347,CEJSR01481,Business Owner,Union Bank - Mysuru Branch,1980488,Others
Fateh Deshpande,293311107084,513,"H.No. 923, Shanker Nagar, Hospet-362204",Karnataka,Hubballi,India,9445716063,QZQMJ80927,Civil Engineer,Union Bank - Hubballi Branch,1665689,Others
Zain Sandal,666109590243,460,"78/263, Chowdhury, Tiruppur 029860",West Bengal,Kolkata,India,1841218869,RITCC53490,Teacher,Union Bank - Kolkata Branch,268148,Others
Renee Kara,236445859684,588,"86/51, Saha Ganj, Kanpur 282248",Delhi,New Delhi,India,5553842223,OOZXP37345,Marketing Executive,Union Bank - New Delhi Branch,848531,Female
Aayush Ravi,273708161239,412,"23/70, Bajwa Ganj, Bhiwandi-589128",Madhya Pradesh,Jabalpur,India,7133986234,BCRFF12636,Marketing Executive,Union Bank - Jabalpur Branch,1500571,Others
Hiran Kar,876726709629,399,"H.No. 138, Halder Zila, Rampur-094982",Tamil Nadu,Chennai,India,8468824928,BLPSM91421,Marketing Executive,Union Bank - Chennai Branch,1106606,Others
Manikya Barad,788561209048,653,"289, Zachariah Chowk, Singrauli-815643",Tamil Nadu,Chennai,India,1970082444,GYHTM49341,Civil Engineer,Union Bank - Chennai Branch,878843,Others
Pranay Lalla,656054897768,875,"55, Wadhwa, Bikaner-693476",Rajasthan,Udaipur,India,7984785117,NLPQR75067,Teacher,Union Bank - Udaipur Branch,772843,Others
Vivaan Krishnan,831386480075,780,"H.No. 273, Wason Chowk, Pallavaram-490185",Tamil Nadu,Madurai,India,3737930671,FEKFU33714,Doctor,Union Bank - Madurai Branch,456508,Others
Vardaniya Kumer,958863470045,626,"01/579, Amble, North Dumdum 970570",Tamil Nadu,Madurai,India,9546531798,HKVWS10400,Business Owner,Union Bank - Madurai Branch,1003591,Others
Farhan Sarkar,515948108248,760,"56/82, Sehgal Road, Machilipatnam-516713",Tamil Nadu,Chennai,India,5245787276,IHWXF10342,Business Owner,Union Bank - Chennai Branch,1096942,Others
Renee Deshmukh,989050048912,330,"24/389, Barad Nagar, Vijayawada 326951",Delhi,New Delhi,India,9616132019,MRYNV58392,Pharmacist,Union Bank - New Delhi Branch,306530,Female
Sumer Raju,309093841380,878,"63/13, Tandon Street, Karawal Nagar 210189",Rajasthan,Udaipur,India,6828437083,QWBSE16952,Business Owner,Union Bank - Udaipur Branch,804365,Others
Kabir Vora,404930772604,818,"H.No. 53, Wali Ganj, Kakinada 730296",Rajasthan,Udaipur,India,8584352144,NQESB96855,Bank Manager,Union Bank - Udaipur Branch,660337,Others
Rasha Brahmbhatt,647472427685,762,"27, Shenoy Ganj, Imphal 053423",Maharashtra,Mumbai,India,7860938612,PVLQL14561,Software Engineer,Union Bank - Mumbai Branch,1973415,Others
Divit Mallick,967538147574,562,"433, Saxena Path, Berhampore-589097",Madhya Pradesh,Bhopal,India,9423055042,FNSOT04741,Pharmacist,Union Bank - Bhopal Branch,1005889,Others
Himmat Magar,921270138165,817,"52/792, Char Marg, Sasaram-718119",Gujarat,Surat,India,2690518538,AXAVT39570,Bank Manager,Union Bank - Surat Branch,1708349,Others
Zain Bansal,308418760493,751,"H.No. 194, Lal Path, Hapur 521842",Karnataka,Mysuru,India,4478029965,VAGFL23602,Lawyer,Union Bank - Mysuru Branch,408261,Others
Saksham Bala,245259416549,571,"H.No. 13, Amble, Akola 478738",Punjab,Ludhiana,India,6172227721,YRDQL63640,Civil Engineer,Union Bank - Ludhiana Branch,1589673,Others
Zeeshan Singh,468688555393,672,"29/651, Bahl Street, Jaipur-892553",Punjab,Ludhiana,India,6328591681,HLPUG28251,Pharmacist,Union Bank - Ludhiana Branch,1563715,Others
Samar Garg,128306901753,484,"H.No. 600, Sharaf Road, Giridih 928754",West Bengal,Siliguri,India,4421427339,NOJGZ01319,Bank Manager,Union Bank - Siliguri Branch,1420405,Others
Aradhya Agarwal,488132454329,499,"00, Lala Ganj, Bikaner-902545",Uttar Pradesh,Kanpur,India,5259252124,FRVXC98391,Lawyer,Union Bank - Kanpur Branch,471836,Others
Heer Sathe,357341525868,349,"H.No. 440, Kibe Circle, Madhyamgram 103975",Rajasthan,Jaipur,India,1545207448,QZFKQ58786,Civil Engineer,Union Bank - Jaipur Branch,1687550,Others
Ira Chander,124582644931,805,"56/834, Mahajan Path, North Dumdum-663941",Gujarat,Surat,India,8243543940,UFAQO81121,Lawyer,Union Bank - Surat Branch,1189913,Others
Diya Sha,581109887040,818,"H.No. 659, Wagle Zila, Kanpur-583847",Uttar Pradesh,Lucknow,India,4192876914,YZDEG95729,Lawyer,Union Bank - Lucknow Branch,402283,Others
Shanaya Kanda,693428159778,349,"593, Brar Zila, Kharagpur-395155",Karnataka,Mysuru,India,3923419660,ZQCDV27826,Software Engineer,Union Bank - Mysuru Branch,396769,Others
Yakshit Salvi,203493651683,886,"719, Bawa Path, Sonipat-266153",West Bengal,Kolkata,India,1708567589,GVAJS46210,Accountant,Union Bank - Kolkata Branch,761353,Others
Abram Sarna,804837221039,756,"455, Deo Path, Loni 255199",Madhya Pradesh,Jabalpur,India,8366383006,TXDWU19776,Civil Engineer,Union Bank - Jabalpur Branch,1471741,Others
Aarav Maharaj,480649767421,707,"46, Bose Marg, Nizamabad 142652",Uttar Pradesh,Varanasi,India,9849013382,VRZPH48735,Civil Engineer,Union Bank - Varanasi Branch,1872163,Others
Hazel Yohannan,830348377278,744,"H.No. 717, Sundaram Path, Thiruvananthapuram-342979",Madhya Pradesh,Indore,India,2449143970,OOINB90062,Marketing Executive,Union Bank - Indore Branch,1246797,Others
Nitara Sem,861870590350,872,"H.No. 50, Seshadri, Bahraich-168223",West Bengal,Kolkata,India,8302216005,BULYW60541,Accountant,Union Bank - Kolkata Branch,1150110,Female
Myra Koshy,898298107670,731,"H.No. 400, Banerjee Road, Alwar-553208",Uttar Pradesh,Varanasi,India,7070483487,BECLK62373,Software Engineer,Union Bank - Varanasi Branch,1784398,Others
Kiara Kumar,809508336782,879,"61, Sinha, Salem-596407",Madhya Pradesh,Indore,India,7559150861,BGCXV36771,Accountant,Union Bank - Indore Branch,687879,Others
Saira Chakrabarti,406304028515,893,"00/25, Sinha Road, Ongole 111450",Gujarat,Surat,India,8416648867,VKXCH32109,Lawyer,Union Bank - Surat Branch,764685,Others
Ivana Subramaniam,654324500138,363,"15/974, Edwin Road, Sirsa-250760",Karnataka,Bengaluru,India,2557480454,UTEXH30971,Software Engineer,Union Bank - Bengaluru Branch,982038,Others
Kiara Gulati,616542095074,807,"65, Seth Nagar, Mahbubnagar 181152",Delhi,New Delhi,India,8469545713,TIYUD23131,Marketing Executive,Union Bank - New Delhi Branch,1602107,Others
Jivika Shan,712106075498,400,"H.No. 41, Sani Circle, Bhalswa Jahangir Pur-291492",Karnataka,Bengaluru,India,8803368894,BNZEU50038,Doctor,Union Bank - Bengaluru Branch,1511736,Others
Raunak Master,702751517632,670,"425, Chakrabarti Zila, Nagpur 339823",Karnataka,Bengaluru,India,1999245856,FQFMY40203,Software Engineer,Union Bank - Bengaluru Branch,1207293,Others
Kismat Wali,330029407088,451,"22, Sridhar Street, Danapur-689366",Punjab,Jalandhar,India,1795562293,DRUZH63090,Teacher,Union Bank - Jalandhar Branch,779879,Others
Taran Deep,776976299872,353,"H.No. 672, Samra Road, Loni 674684",Maharashtra,Mumbai,India,1079027697,AQFWV65629,Business Owner,Union Bank - Mumbai Branch,1469460,Others
Alisha Madan,134495184613,389,"02, Varghese Nagar, Salem 238140",Delhi,New Delhi,India,3557340237,BNKQK81106,Civil Engineer,Union Bank - New Delhi Branch,223247,Others
Hansh Kata,712795960525,430,"031, Raja Path, Karaikudi 333319",Rajasthan,Jaipur,India,3838518199,DPVSX72148,Bank Manager,Union Bank - Jaipur Branch,1272876,Others
Zaina Gupta,231309152784,630,"19, Gole Ganj, Narasaraopet-439535",West Bengal,Kolkata,India,1028576044,BBFAA87353,Pharmacist,Union Bank - Kolkata Branch,1715857,Others
Piya Ratta,211410113580,758,"98/97, Venkatesh Marg, Patna 369901",Maharashtra,Nagpur,India,9370646943,BEIEF14606,Marketing Executive,Union Bank - Nagpur Branch,807086,Others
Akarsh Chatterjee,979988381305,495,"46/22, Varma, Chennai-008867",Tamil Nadu,Coimbatore,India,9947556609,AISZB63059,Marketing Executive,Union Bank - Coimbatore Branch,733556,Others
Fateh Warrior,539024945916,767,"13/349, Korpal Zila, Satna-178736",Tamil Nadu,Coimbatore,India,7218356042,LYKHT53980,Accountant,Union Bank - Coimbatore Branch,1597527,Others
Nirvi Tara,560089426396,466,"46/874, Basu Circle, Agartala-755233",Delhi,New Delhi,India,4674917624,WEGNJ15320,Bank Manager,Union Bank - New Delhi Branch,1522905,Others
Mishti Ravi,330308610410,535,"H.No. 31, Sabharwal Path, Chinsurah 929252",Tamil Nadu,Coimbatore,India,2552132799,RPBOQ76023,Accountant,Union Bank - Coimbatore Branch,1967640,Others
Mamooty Virk,668614011160,551,"H.No. 05, Char Street, Rourkela 175282",Madhya Pradesh,Jabalpur,India,9152778971,UFNTZ50704,Bank Manager,Union Bank - Jabalpur Branch,942139,Others
Anya Kar,628866870948,300,"H.No. 20, Choudhry, Guna-499331",Maharashtra,Mumbai,India,7534256785,AICOZ99211,Business Owner,Union Bank - Mumbai Branch,632315,Others
Anya Venkatesh,369897863003,844,"H.No. 59, Kapur Nagar, Bihar Sharif 014754",Madhya Pradesh,Jabalpur,India,6864756896,JOEJV06503,Bank Manager,Union Bank - Jabalpur Branch,1126075,Others
Anahi Sangha,351965344616,357,"366, Dube Marg, Karimnagar 292272",Rajasthan,Jaipur,India,9703706384,EZTZP58065,Civil Engineer,Union Bank - Jaipur Branch,716588,Others
Armaan Desai,861787288308,608,"96/123, Sunder Road, Udaipur-478737",Punjab,Amritsar,India,5471619537,SFWFW90637,Civil Engineer,Union Bank - Amritsar Branch,1485160,Others
Neysa Warrior,424534328544,790,"92/777, Bawa Ganj, Loni-257960",Uttar Pradesh,Lucknow,India,3333271463,PHJAJ42490,Pharmacist,Union Bank - Lucknow Branch,1810908,Others
Dishani Malhotra,338820858892,361,"H.No. 645, Sankaran Zila, Amravati-167402",Madhya Pradesh,Bhopal,India,3011422833,VNDMO99685,Marketing Executive,Union Bank - Bhopal Branch,1178732,Others
Hiran Mann,145272862020,372,"49/179, Sankaran Nagar, Maheshtala-358239",West Bengal,Durgapur,India,8813521095,QQQRE83773,Doctor,Union Bank - Durgapur Branch,1625472,Others
Urvi Wason,527456885079,715,"H.No. 37, Mane Path, Bidar 997546",Gujarat,Vadodara,India,6279431904,RNOYX74029,Doctor,Union Bank - Vadodara Branch,248984,Others
Aarush Anand,221485686863,568,"74/708, Som Nagar, Kakinada-552990",Uttar Pradesh,Lucknow,India,9390564480,TEPAH91861,Pharmacist,Union Bank - Lucknow Branch,502918,Others
Baiju Borah,583118902654,824,"880, Taneja Zila, Shimoga-848457",Rajasthan,Jodhpur,India,7726684980,TAHJR24161,Marketing Executive,Union Bank - Jodhpur Branch,464712,Others
Jivika Chaudhuri,848255508571,865,"H.No. 554, Hari Zila, Siwan 433547",Uttar Pradesh,Lucknow,India,3340784829,MMDVH39347,Pharmacist,Union Bank - Lucknow Branch,1368727,Others
Mishti Sarma,261096473169,586,"55, Kumar Street, Sikar 758970",Gujarat,Surat,India,4304807622,BRHRB51195,Software Engineer,Union Bank - Surat Branch,1704384,Others
Madhup Bakshi,696502238339,705,"00/525, Basak Circle, Guwahati-750063",Uttar Pradesh,Kanpur,India,6495460690,NSFDD14001,Accountant,Union Bank - Kanpur Branch,333767,Others
Divij Barad,974523517531,723,"263, Hayer Road, Sangli-Miraj & Kupwad-881086",Rajasthan,Jaipur,India,9853665947,SWBOQ19195,Marketing Executive,Union Bank - Jaipur Branch,848663,Others
Yashvi Bhasin,965819827128,769,"37/151, Mandal Zila, Tadepalligudem-486844",West Bengal,Kolkata,India,5477405665,HLACB47538,Accountant,Union Bank - Kolkata Branch,1952126,Others
Faiyaz Balay,889212567347,817,"63/159, Sekhon Nagar, Bongaigaon-203565",Karnataka,Bengaluru,India,2224718636,IQDWQ77602,Bank Manager,Union Bank - Bengaluru Branch,336330,Others
Indranil Yohannan,312480706014,513,"H.No. 032, Varty Ganj, Junagadh-119823",Maharashtra,Pune,India,4534737766,XOIOH54389,Accountant,Union Bank - Pune Branch,680754,Others
Ritvik Chandran,413647569834,897,"50, Sampath Marg, Siwan 733843",Tamil Nadu,Chennai,India,6089460173,XLXCX26439,Bank Manager,Union Bank - Chennai Branch,1550224,Others
Myra Rastogi,908761077730,859,"522, Gole Street, Raipur 889078",Karnataka,Bengaluru,India,3428694435,MBEUQ90665,Doctor,Union Bank - Bengaluru Branch,1937095,Others
Suhana Uppal,378722108752,596,"16/09, Mahajan Circle, Nagpur 089655",Madhya Pradesh,Jabalpur,India,6398792999,OVFUX83455,Software Engineer,Union Bank - Jabalpur Branch,213986,Others
Mishti Kalita,202337191857,867,"54/296, Upadhyay Circle, Howrah-932583",Gujarat,Surat,India,2711202658,OZNCJ80347,Civil Engineer,Union Bank - Surat Branch,786146,Others
Saira Sheth,883468536676,545,"55, Batta Road, Siliguri 393322",Tamil Nadu,Chennai,India,1690292840,EKUZJ32879,Business Owner,Union Bank - Chennai Branch,1377888,Others
Jayan Setty,345153687472,686,"H.No. 354, Sarkar Nagar, Sultan Pur Majra 171138",West Bengal,Siliguri,India,7400012975,LXHJR26876,Civil Engineer,Union Bank - Siliguri Branch,212666,Others
Adah Varma,500674180753,328,"34/520, Tandon Marg, Allahabad-401208",Gujarat,Ahmedabad,India,9102276026,SHRVW97707,Lawyer,Union Bank - Ahmedabad Branch,1549380,Others
Vardaniya Chanda,710050444839,894,"486, Karan Circle, Bilaspur-610816",West Bengal,Siliguri,India,8203615210,MNOQI86695,Teacher,Union Bank - Siliguri Branch,334633,Others
Parinaaz Bora,344299963946,792,"379, Kunda Circle, Thrissur 761791",Uttar Pradesh,Kanpur,India,8491587586,OQUMD58610,Bank Manager,Union Bank - Kanpur Branch,488998,Others
Hazel Chopra,570676559402,864,"61/74, Iyer Path, Mira-Bhayandar-228800",Karnataka,Mysuru,India,9414394423,TXIGF00324,Accountant,Union Bank - Mysuru Branch,1050937,Others
Shalv Banerjee,320350591582,317,"30/944, Reddy Ganj, Rajpur Sonarpur-560162",Uttar Pradesh,Kanpur,India,9687773597,CHURS49550,Doctor,Union Bank - Kanpur Branch,828776,Others
Fateh Vora,166718394637,360,"H.No. 350, Varty Path, Munger-730360",West Bengal,Kolkata,India,5880906734,DTTSG67044,Business Owner,Union Bank - Kolkata Branch,1956187,Others
Mehul Dash,586602388882,892,"32, Balan Road, Coimbatore-057945",Tamil Nadu,Chennai,India,1472605921,JJKDT96311,Business Owner,Union Bank - Chennai Branch,1533382,Others
Anaya Das,189346820429,888,"360, Sethi Zila, Bhind 002669",Tamil Nadu,Madurai,India,1275657222,JDRJX22618,Marketing Executive,Union Bank - Madurai Branch,1279111,Others
